domain,country,language,last_update,website_url,organization,country_code,language_code,last_update_basis,ror_record_last_modified,website_last_modified,last_checked_utc,http_status,reachable,source_category,ror_id,ror_types,source_record,relevance_note
uet.edu.al,Albania,Albanian,2024-12-11,http://www.uet.edu.al/index.php/en/,European University of Tirana,AL,sq,ror_record_last_modified,2024-12-11,,2026-07-29T06:55:15+00:00,TimeoutError,unknown,research_funder,https://ror.org/05r7c5x85,education; funder,https://ror.org/05r7c5x85,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
westernbalkansfund.org,Albania,Albanian,2026-06-23,https://westernbalkansfund.org,Western Balkans Fund,AL,sq,ror_record_last_modified,2026-06-23,,2026-07-29T06:54:59+00:00,URLError,unknown,research_funder,https://ror.org/01wghc535,funder; other,https://ror.org/01wghc535,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
govern.ad,Andorra,Catalan,2026-07-20,https://www.govern.ad/,govern.ad,AD,ca,directory_release_date,,,2026-07-29T06:54:59+00:00,URLError,unknown,government portal,,,curated supplemental seed,"Curated European funding, challenge, programme, or government portal."
eif.am,Armenia,Armenian,2026-07-20,https://www.eif.am,Enterprise Incubator Foundation,AM,hy,ror_record_last_modified,2026-07-20,,2026-07-29T06:55:15+00:00,URLError,unknown,research_funder,https://ror.org/003pzcf57,funder; nonprofit,https://ror.org/003pzcf57,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
farusa.org,Armenia,Armenian,2024-12-11,http://farusa.org/,Fund for Armenian Relief,AM,hy,ror_record_last_modified,2024-12-11,,2026-07-29T06:56:19+00:00,TimeoutError,unknown,research_funder,https://ror.org/00ddr8x91,nonprofit; funder,https://ror.org/00ddr8x91,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
edu.am,Armenia,Armenian,2024-12-11,http://www.edu.am/,Ministry of Education and Science,AM,hy,ror_record_last_modified,2024-12-11,,2026-07-29T06:56:27+00:00,TimeoutError,unknown,research_funder,https://ror.org/03ck0h361,government; funder,https://ror.org/03ck0h361,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
sci.am,Armenia,Armenian,2026-03-12,http://www.sci.am/,National Academy of Sciences of Armenia,AM,hy,ror_record_last_modified,2026-03-12,,2026-07-29T06:55:31+00:00,TimeoutError,unknown,research_funder,https://ror.org/04mczx267,funder; government,https://ror.org/04mczx267,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
rau.am,Armenia,Armenian,2024-12-11,http://www.rau.am,Russian-Armenian University,AM,hy,ror_record_last_modified,2024-12-11,,2026-07-29T06:56:03+00:00,TimeoutError,unknown,research_funder,https://ror.org/01v4e7289,education; funder,https://ror.org/01v4e7289,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
scs.am,Armenia,Armenian,2024-12-11,http://www.scs.am/en,State Committee of Science,AM,hy,ror_record_last_modified,2024-12-11,,2026-07-29T06:55:47+00:00,TimeoutError,unknown,research_funder,https://ror.org/01ptpr676,government; funder,https://ror.org/01ptpr676,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
ysu.am,Armenia,Armenian,2026-07-20,https://www.ysu.am,Yerevan State University,AM,hy,ror_record_last_modified,2026-07-20,,2026-07-29T06:54:59+00:00,URLError,unknown,research_funder,https://ror.org/00s8vne50,education; funder,https://ror.org/00s8vne50,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
asea-uninet.org,Austria,German,2026-06-23,https://asea-uninet.org,ASEAN-European Academic University Network,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/03ds3jw98,funder; other,https://ror.org/03ds3jw98,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
gv.at,Austria,German,2026-07-20,https://www.ktn.gv.at,Amt der Kärntner Landesregierung,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/03w3gnp47,funder; government,https://ror.org/03w3gnp47,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
vorarlberg.at,Austria,German,2026-06-23,https://vorarlberg.at,Amt der Vorarlberger Landesregierung,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/04c7sns60,funder; government,https://ror.org/04c7sns60,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
oeaw.ac.at,Austria,German,2026-02-24,https://www.oeaw.ac.at,Austrian Academy of Sciences,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/03anc3s24,funder; government,https://ror.org/03anc3s24,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
oegkm.at,Austria,German,2026-07-20,https://oegkm.at,Austrian Bone and Mineral Society,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:03+00:00,URLError,unknown,research_funder,https://ror.org/024qcpz41,funder; nonprofit,https://ror.org/024qcpz41,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
ait.ac.at,Austria,German,2026-02-24,https://www.ait.ac.at,Austrian Institute of Technology,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/04knbh022,facility; funder,https://ror.org/04knbh022,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
apg.at,Austria,German,2026-06-23,https://www.apg.at,Austrian Power Grid (Austria),AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/03znhvz06,company; funder,https://ror.org/03znhvz06,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
oegg.at,Austria,German,2026-06-23,https://www.oegg.at,Austrian Society for Geomechanics,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/04eqm2w21,funder; nonprofit,https://ror.org/04eqm2w21,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
aco-asso.at,Austria,German,2026-06-23,https://www.aco-asso.at,Austrian Society of Surgical Oncology,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/04h16zf48,funder; nonprofit,https://ror.org/04h16zf48,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
best-research.eu,Austria,German,2026-07-20,https://www.best-research.eu/,BEST - Bioenergy and Sustainable Technologies (Austria),AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/0254y9b08,company; funder,https://ror.org/0254y9b08,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
boku.ac.at,Austria,German,2026-02-24,https://boku.ac.at,BOKU University,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/057ff4y42,education; funder,https://ror.org/057ff4y42,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
ceu.edu,Austria,German,2026-02-24,https://www.ceu.edu,Central European University,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/02zx40v98,education; funder,https://ror.org/02zx40v98,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
debra-international.org,Austria,German,2026-06-23,https://www.debra-international.org,DEBRA International,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/00gns0095,funder; nonprofit,https://ror.org/00gns0095,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
emsos.org,Austria,German,2026-07-20,https://emsos.org,European Musculoskeletal Oncology Society,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/044erq918,funder; nonprofit,https://ror.org/044erq918,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
essr.org,Austria,German,2026-06-23,https://www.essr.org,European Society of Musculoskeletal Radiology,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/029tqgq95,funder; nonprofit,https://ror.org/029tqgq95,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
fwf.ac.at,Austria,German,2026-06-02,https://www.fwf.ac.at,FWF Austrian Science Fund,AT,de,ror_record_last_modified,2026-06-02,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/013tf3c58,funder; nonprofit,https://ror.org/013tf3c58,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
f-schiedel-stiftung.at,Austria,German,2026-07-20,http://www.f-schiedel-stiftung.at,"Friedrich Schiedel, Stiftung für Energietechnik Wien",AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,RemoteDisconnected,unknown,research_funder,https://ror.org/01t6yzv94,funder; nonprofit,https://ror.org/01t6yzv94,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
gl-pharma.at,Austria,German,2026-07-20,https://gl-pharma.at/language/en/,Gerot Lannach (Austria),AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/0523s0t06,company; funder,https://ror.org/0523s0t06,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
tugraz.at,Austria,German,2026-02-24,https://www.tugraz.at,Graz University of Technology,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/00d7xrm67,education; funder,https://ror.org/00d7xrm67,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
hypotirol.com,Austria,German,2026-06-23,https://www.hypotirol.com,Hypo Tirol Bank AG (Austria),AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/00f3th548,company; funder,https://ror.org/00f3th548,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
ifac-control.org,Austria,German,2026-06-23,https://www.ifac-control.org,International Federation of Automatic Control,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/04syfkh91,funder; nonprofit,https://ror.org/04syfkh91,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
iiasa.ac.at,Austria,German,2026-02-24,https://iiasa.ac.at,International Institute for Applied Systems Analysis,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/02wfhk785,funder; nonprofit,https://ror.org/02wfhk785,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
iuvsta.org,Austria,German,2026-07-20,https://iuvsta.org,"International Union for Vacuum Science, Technique, and Applications",AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:43+00:00,URLError,unknown,research_funder,https://ror.org/02xh3wj91,funder; nonprofit,https://ror.org/02xh3wj91,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
jku.at,Austria,German,2026-07-20,https://www.jku.at,Johannes Kepler University of Linz,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:43+00:00,URLError,unknown,research_funder,https://ror.org/052r2xn60,education; funder,https://ror.org/052r2xn60,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
k1-met.com,Austria,German,2026-07-20,https://www.k1-met.com,K1-MET GmbH (Austria),AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:37+00:00,URLError,unknown,research_funder,https://ror.org/03e7pqd57,company; funder,https://ror.org/03e7pqd57,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
kli.ac.at,Austria,German,2026-07-20,https://kli.ac.at,Konrad Lorenz Institute for Evolution and Cognition Research,AT,de,ror_record_last_modified,2026-07-20,,2026-07-29T06:56:27+00:00,URLError,unknown,research_funder,https://ror.org/01agk4b09,funder; other,https://ror.org/01agk4b09,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
lisavienna.at,Austria,German,2026-06-23,https://www.lisavienna.at,Life Science Austria Vienna,AT,de,ror_record_last_modified,2026-06-23,,2026-07-29T06:56:44+00:00,URLError,unknown,research_funder,https://ror.org/00hh7tq18,funder; nonprofit; other,https://ror.org/00hh7tq18,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
medunigraz.at,Austria,German,2026-02-24,http://www.medunigraz.at/en/,Medical University of Graz,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,RemoteDisconnected,unknown,research_funder,https://ror.org/02n0bts35,education; funder,https://ror.org/02n0bts35,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
meduniwien.ac.at,Austria,German,2026-02-24,https://www.meduniwien.ac.at,Medical University of Vienna,AT,de,ror_record_last_modified,2026-02-24,,2026-07-29T06:56:45+00:00,URLError,unknown,research_funder,https://ror.org/05n3x4p02,education; funder,https://ror.org/05n3x4p02,Active organization classified as a funder in ROR; verify each call's external eligibility before applying.
